"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","579,839.23",
"Energy","393,868.17",
"Fuel Combustion","356,285.25",
"Energy Industries","214,117.80",
"Public Electricity and Heat Production","194,933.02",
"Petroleum Refining","5,536.60",
"Manufacture of Solid Fuels and Other Energy Industries","13,648.18",
"Manufacturing Industries and Construction","40,503.71",
"Iron and Steel","2,683.52",
"Non-Ferrous Metals","12,782.67",
"Chemicals","7,535.10",
"Food Processing, Beverages and Tobacco","3,154.93",
"Non-Metallic Minerals","6,508.37",
"Other","6,169.71",
"Transport","81,418.37",
"Domestic aviation","4,943.90",
"Road Transportation","71,513.79",
"Railways","2,054.26",
"Domestic Navigation","2,115.22",
"Other Transportation",791.20,
"Other Sectors","19,662.46",
"Commercial / Institutional","4,388.64",
"Residential","9,040.98",
"Agriculture, Forestry and Fishing","6,232.83",
"Other (not elsewhere classified)",582.91,
"Fugitive Emissions From Fuels","37,582.92",
"Solid Fuels","24,173.36",
"Coal Mining","24,113.35",
"Other",60.01,
"Oil and Natural Gas","13,409.57",
"Oil",525.95,
"Natural Gas","5,185.97",
"Venting and Flaring","7,697.65",
"Industrial Processes","32,622.34",
"Mineral Industry","6,389.42",
"Cement Production","3,554.65",
"Lime Production","1,217.29",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,617.49",
"Chemical Industry","5,001.97",
"Metal Industry","16,234.11",
"Non-energy products from fuels and solvent use",334.25,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","4,266.92",
"Other product manufacture and use",230.66,
"Other",165.01,
"Agriculture","75,285.18",
"Enteric Fermentation","56,788.26",
"Manure Management","3,105.53",
"Rice Cultivation",221.14,
"Agricultural Soils","12,621.81",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",513.37,
"Liming","1,079.51",
"Urea Application",955.56,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","63,536.28",
"Afforestation and reforestation","-16,777.19",
"Deforestation","68,676.49",
"Forest management","-2,415.52",
"Cropland Management",-654.64,
"Grazing land management","14,567.39",
"Revegetation",139.75,
"Waste","14,527.26",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:32:11 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
