"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","500,185.24",
"Energy","326,491.75",
"Fuel Combustion","289,057.11",
"Energy Industries","162,661.87",
"Public Electricity and Heat Production","147,730.00",
"Petroleum Refining","6,192.96",
"Manufacture of Solid Fuels and Other Energy Industries","8,738.91",
"Manufacturing Industries and Construction","37,695.84",
"Iron and Steel","2,980.48",
"Non-Ferrous Metals","12,299.66",
"Chemicals","5,925.16",
"Food Processing, Beverages and Tobacco","3,396.22",
"Non-Metallic Minerals","4,797.32",
"Other","6,952.51",
"Transport","70,431.39",
"Domestic aviation","5,079.27",
"Road Transportation","60,516.58",
"Railways","1,762.42",
"Domestic Navigation","2,608.57",
"Other Transportation",464.56,
"Other Sectors","17,486.13",
"Commercial / Institutional","4,107.70",
"Residential","9,455.18",
"Agriculture, Forestry and Fishing","3,923.25",
"Other (not elsewhere classified)",781.89,
"Fugitive Emissions From Fuels","37,434.63",
"Solid Fuels","22,180.38",
"Coal Mining","22,175.31",
"Other",5.07,
"Oil and Natural Gas","15,254.25",
"Oil",543.84,
"Natural Gas","5,502.42",
"Venting and Flaring","9,207.99",
"Industrial Processes","24,939.14",
"Mineral Industry","5,901.72",
"Cement Production","3,243.62",
"Lime Production","1,091.70",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,566.40",
"Chemical Industry","2,941.50",
"Metal Industry","14,983.16",
"Non-energy products from fuels and solvent use",278.54,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances",414.17,
"Other product manufacture and use",280.89,
"Other",139.16,
"Agriculture","74,191.23",
"Enteric Fermentation","58,189.55",
"Manure Management","2,589.89",
"Rice Cultivation",517.59,
"Agricultural Soils","11,464.61",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",484.04,
"Liming",385.99,
"Urea Application",559.57,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","57,318.85",
"Afforestation and reforestation","-4,642.38",
"Deforestation","57,701.32",
"Forest management","-15,805.61",
"Cropland Management","1,167.00",
"Grazing land management","18,613.19",
"Revegetation",285.33,
"Waste","17,244.28",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:34:23 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
