"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","547,336.01",
"Energy","417,368.91",
"Fuel Combustion","375,649.21",
"Energy Industries","220,625.19",
"Public Electricity and Heat Production","198,497.59",
"Petroleum Refining","5,691.18",
"Manufacture of Solid Fuels and Other Energy Industries","16,436.42",
"Manufacturing Industries and Construction","41,006.19",
"Iron and Steel","1,770.23",
"Non-Ferrous Metals","12,090.28",
"Chemicals","7,097.31",
"Food Processing, Beverages and Tobacco","3,571.28",
"Non-Metallic Minerals","6,678.62",
"Other","8,292.18",
"Transport","91,830.15",
"Domestic aviation","7,583.59",
"Road Transportation","78,624.45",
"Railways","2,769.53",
"Domestic Navigation","2,271.73",
"Other Transportation",580.85,
"Other Sectors","21,254.70",
"Commercial / Institutional","5,070.18",
"Residential","9,950.21",
"Agriculture, Forestry and Fishing","6,234.30",
"Other (not elsewhere classified)",932.98,
"Fugitive Emissions From Fuels","41,719.70",
"Solid Fuels","26,813.76",
"Coal Mining","26,627.66",
"Other",186.10,
"Oil and Natural Gas","14,905.94",
"Oil",386.64,
"Natural Gas","6,669.93",
"Venting and Flaring","7,849.36",
"Industrial Processes","37,346.82",
"Mineral Industry","6,438.83",
"Cement Production","3,495.53",
"Lime Production","1,243.93",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,699.36",
"Chemical Industry","6,056.86",
"Metal Industry","13,972.17",
"Non-energy products from fuels and solvent use",232.10,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","10,239.05",
"Other product manufacture and use",146.23,
"Other",261.58,
"Agriculture","71,066.72",
"Enteric Fermentation","52,267.55",
"Manure Management","3,371.23",
"Rice Cultivation",251.22,
"Agricultural Soils","12,600.39",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",375.77,
"Liming","1,088.30",
"Urea Application","1,112.25",
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","6,890.64",
"Afforestation and reforestation","-26,210.27",
"Deforestation","40,183.45",
"Forest management","-14,780.06",
"Cropland Management","-4,047.30",
"Grazing land management","11,648.74",
"Revegetation",96.08,
"Waste","14,662.92",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:30:14 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
