"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","570,677.95",
"Energy","371,700.35",
"Fuel Combustion","331,896.36",
"Energy Industries","199,435.62",
"Public Electricity and Heat Production","182,685.66",
"Petroleum Refining","6,281.56",
"Manufacture of Solid Fuels and Other Energy Industries","10,468.40",
"Manufacturing Industries and Construction","38,450.77",
"Iron and Steel","2,546.52",
"Non-Ferrous Metals","12,536.55",
"Chemicals","6,673.76",
"Food Processing, Beverages and Tobacco","2,668.26",
"Non-Metallic Minerals","5,411.30",
"Other","7,109.63",
"Transport","74,315.41",
"Domestic aviation","5,498.41",
"Road Transportation","64,486.28",
"Railways","1,684.59",
"Domestic Navigation","1,959.13",
"Other Transportation",687.00,
"Other Sectors","19,055.64",
"Commercial / Institutional","4,262.30",
"Residential","9,291.07",
"Agriculture, Forestry and Fishing","5,502.27",
"Other (not elsewhere classified)",638.92,
"Fugitive Emissions From Fuels","39,803.99",
"Solid Fuels","25,237.79",
"Coal Mining","25,227.68",
"Other",10.11,
"Oil and Natural Gas","14,566.19",
"Oil",582.54,
"Natural Gas","3,972.05",
"Venting and Flaring","10,011.60",
"Industrial Processes","27,868.97",
"Mineral Industry","6,238.69",
"Cement Production","3,540.90",
"Lime Production","1,149.49",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,548.30",
"Chemical Industry","4,052.72",
"Metal Industry","14,611.52",
"Non-energy products from fuels and solvent use",293.86,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","2,305.93",
"Other product manufacture and use",218.80,
"Other",147.46,
"Agriculture","77,245.89",
"Enteric Fermentation","58,522.66",
"Manure Management","3,148.88",
"Rice Cultivation",586.24,
"Agricultural Soils","12,653.83",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",515.63,
"Liming",761.69,
"Urea Application","1,056.96",
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","77,980.37",
"Afforestation and reforestation","-12,060.66",
"Deforestation","76,885.29",
"Forest management","-5,461.01",
"Cropland Management",-293.32,
"Grazing land management","18,694.49",
"Revegetation",215.57,
"Waste","15,882.38",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:32:49 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
