1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
"15,593.92","15,246.43","7,034.45","4,601.39","8,351.49","9,125.87","8,765.74","7,434.43","7,243.26","5,411.85","3,325.53","4,619.60","2,506.02",704.82,"1,931.98","3,882.47",707.81,"3,060.41","1,761.86",-382.08,"-1,409.84","-4,378.33","-5,973.79","-7,329.06","-5,499.93","-3,918.72","-1,057.09",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Wed Nov 14 2018 17:25:45 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for Land Use, Land-Use Change and Forestry KP"
"Copyright 2018 Department of the Environment and Energy."
