1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
"5,703.30","3,620.92",-623.24,"-1,281.64","-2,968.39","-3,130.69","-4,400.91","-2,548.19","-3,878.38","-6,123.98","-4,048.77","-3,072.41","-5,172.31","4,202.58","2,927.63",-671.50,"3,515.94","3,732.91","-2,646.78","4,487.65","-2,319.67","-5,549.62","-9,631.14","-9,257.35","-6,530.76","-7,526.43","-8,585.74",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Wed Nov 14 2018 17:21:44 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for Land Use, Land-Use Change and Forestry KP"
"Copyright 2018 Department of the Environment and Energy."
