1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
"1,044.80","1,051.25","1,068.04","1,104.58","1,145.24","1,179.63","1,185.76","1,235.38","1,266.08","1,311.97","1,359.46","1,672.69","1,698.30","1,891.64","1,861.90","1,866.89","1,873.11","1,843.68","1,828.51","1,851.91","1,854.98","1,880.26","1,889.49","1,888.52","1,799.48","1,962.27","2,217.08",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Wed Nov 14 2018 16:54:56 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for Agriculture, Forestry and Fishing"
"Copyright 2018 Department of the Environment and Energy."
