1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
693.97,698.24,709.65,733.85,760.75,783.53,787.31,823.98,843.37,872.16,900.13,"1,101.52","1,118.45","1,248.54","1,249.79","1,372.05","1,447.74","1,453.52","1,453.64","1,481.91","1,488.59","1,514.32","1,561.90","1,652.93","1,654.59","1,680.75","1,895.81",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Wed Nov 14 2018 17:05:44 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for Agriculture, Forestry and Fishing"
"Copyright 2018 Department of the Environment and Energy."
