1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
"97,673.51","85,126.20","65,863.35","53,343.90","49,484.53","44,581.09","38,962.45","41,015.30","39,331.03","53,632.97","51,117.19","58,848.99","60,728.45","51,179.19","43,352.28","60,152.60","57,014.44","50,460.19","37,532.48","30,117.34","31,939.54","22,949.73","22,860.55","23,291.33","21,632.54","18,310.02","11,981.76",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Wed Nov 14 2018 17:07:37 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for Land Use, Land-Use Change and Forestry KP"
"Copyright 2018 Department of the Environment and Energy."
