1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
"6,027.47","5,547.87","5,874.80","5,821.34","6,430.05","7,396.86","8,557.43","8,546.11","8,406.49","8,737.46","9,397.04","8,255.71","7,886.83","7,281.67","5,305.61","5,447.92","7,266.81","7,163.25","5,213.29","5,472.68","3,540.82","2,452.20",894.98,"2,012.32","3,871.24","3,356.99","6,398.86",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Wed Nov 14 2018 17:01:23 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for Land Use, Land-Use Change and Forestry KP"
"Copyright 2018 Department of the Environment and Energy."
