1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
651.54,655.57,665.85,688.66,713.67,735.14,738.13,770.01,788.67,816.10,843.87,"1,035.45","1,051.06","1,171.39","1,204.54","1,274.45","1,101.97",946.99,970.06,841.86,934.71,965.19,969.85,954.87,"1,017.19","1,023.10",994.82,

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Wed Nov 14 2018 17:20:46 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for Agriculture, Forestry and Fishing"
"Copyright 2018 Department of the Environment and Energy."
