1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
"24,715.76","15,271.59","10,986.40","3,513.37","4,851.78",112.67,"-1,243.81","-1,559.57","-3,464.58","-1,119.58","-4,083.87","-1,222.17",506.78,"-2,040.51","-1,534.34","5,048.42","7,965.92","6,151.11",-837.99,"-4,666.05","-11,667.73","-7,555.00","-9,427.29","-13,197.79","-8,124.55","-8,252.54","-13,802.27",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Wed Nov 14 2018 16:56:13 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for Land Use, Land-Use Change and Forestry KP"
"Copyright 2018 Department of the Environment and Energy."
