1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
"11,157.50","13,718.66","10,087.99","9,858.18","8,104.10","10,005.33","8,441.08","6,997.54","8,532.13","8,458.82","11,977.14","12,188.83","10,302.43","14,244.54","12,521.25","13,461.05","8,953.53","9,018.85","10,378.71","8,654.49","4,528.31","4,038.54","-4,146.61","-6,080.41","-5,849.81","-6,892.11","-7,306.09",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Wed Nov 14 2018 17:16:41 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for Land Use, Land-Use Change and Forestry KP"
"Copyright 2018 Department of the Environment and Energy."
