1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
566.95,570.43,579.98,599.71,621.96,640.53,644.18,670.79,686.79,710.92,734.46,900.54,914.66,"1,016.96","1,069.79","1,163.71",909.33,885.10,912.15,"1,061.66","1,143.30","1,162.00","1,214.50","1,203.05","1,197.41","1,324.54","1,406.06",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Wed Nov 14 2018 17:24:53 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for Agriculture, Forestry and Fishing"
"Copyright 2018 Department of the Environment and Energy."
