"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","582,663.66",
"Energy","294,010.18",
"Fuel Combustion","256,777.72",
"Energy Industries","143,099.58",
"Public Electricity and Heat Production","129,580.19",
"Petroleum Refining","5,527.15",
"Manufacture of Solid Fuels and Other Energy Industries","7,992.24",
"Manufacturing Industries and Construction","36,256.19",
"Iron and Steel","2,735.21",
"Non-Ferrous Metals","11,192.56",
"Chemicals","5,661.28",
"Food Processing, Beverages and Tobacco","3,053.72",
"Non-Metallic Minerals","5,516.65",
"Other","6,769.41",
"Transport","61,394.56",
"Domestic aviation","2,624.30",
"Road Transportation","53,872.65",
"Railways","1,962.06",
"Domestic Navigation","2,632.87",
"Other Transportation",302.68,
"Other Sectors","15,604.40",
"Commercial / Institutional","3,614.12",
"Residential","8,525.91",
"Agriculture, Forestry and Fishing","3,464.37",
"Other (not elsewhere classified)",422.99,
"Fugitive Emissions From Fuels","37,232.46",
"Solid Fuels","22,175.39",
"Coal Mining","22,175.07",
"Other",0.32,
"Oil and Natural Gas","15,057.08",
"Oil",474.49,
"Natural Gas","6,211.07",
"Venting and Flaring","8,371.52",
"Industrial Processes","26,031.43",
"Mineral Industry","5,489.59",
"Cement Production","3,462.87",
"Lime Production",775.37,
"Glass Production","Data is not available",
"Other process uses of carbonates","1,251.34",
"Chemical Industry","3,485.35",
"Metal Industry","16,473.42",
"Non-energy products from fuels and solvent use",279.93,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","Data is not available",
"Other product manufacture and use",220.56,
"Other",82.57,
"Agriculture","80,026.48",
"Enteric Fermentation","64,625.62",
"Manure Management","2,489.91",
"Rice Cultivation",396.90,
"Agricultural Soils","11,501.18",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",430.86,
"Liming",215.35,
"Urea Application",366.67,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","162,563.37",
"Afforestation and reforestation",164.16,
"Deforestation","63,025.77",
"Forest management","-17,739.82",
"Cropland Management","12,582.37",
"Grazing land management","104,331.95",
"Revegetation",198.93,
"Waste","20,032.20",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:35:47 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
