"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","501,012.80",
"Energy","319,116.37",
"Fuel Combustion","282,125.73",
"Energy Industries","158,063.56",
"Public Electricity and Heat Production","142,700.98",
"Petroleum Refining","6,350.69",
"Manufacture of Solid Fuels and Other Energy Industries","9,011.89",
"Manufacturing Industries and Construction","37,662.47",
"Iron and Steel","2,922.76",
"Non-Ferrous Metals","12,478.49",
"Chemicals","5,615.50",
"Food Processing, Beverages and Tobacco","3,394.08",
"Non-Metallic Minerals","5,211.57",
"Other","6,667.07",
"Transport","68,546.97",
"Domestic aviation","4,627.95",
"Road Transportation","59,207.65",
"Railways","1,757.85",
"Domestic Navigation","2,509.78",
"Other Transportation",443.73,
"Other Sectors","17,156.23",
"Commercial / Institutional","3,983.83",
"Residential","9,262.24",
"Agriculture, Forestry and Fishing","3,910.16",
"Other (not elsewhere classified)",696.51,
"Fugitive Emissions From Fuels","36,990.64",
"Solid Fuels","21,619.16",
"Coal Mining","21,616.26",
"Other",2.90,
"Oil and Natural Gas","15,371.48",
"Oil",530.40,
"Natural Gas","5,335.59",
"Venting and Flaring","9,505.49",
"Industrial Processes","25,201.91",
"Mineral Industry","5,826.40",
"Cement Production","3,357.75",
"Lime Production",947.74,
"Glass Production","Data is not available",
"Other process uses of carbonates","1,520.91",
"Chemical Industry","3,668.25",
"Metal Industry","14,888.69",
"Non-energy products from fuels and solvent use",268.79,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances",94.72,
"Other product manufacture and use",316.21,
"Other",138.85,
"Agriculture","72,675.85",
"Enteric Fermentation","57,233.41",
"Manure Management","2,633.90",
"Rice Cultivation",446.20,
"Agricultural Soils","11,128.13",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",314.81,
"Liming",439.54,
"Urea Application",479.86,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","65,155.92",
"Afforestation and reforestation","-2,669.53",
"Deforestation","67,832.49",
"Forest management","-12,659.54",
"Cropland Management","1,486.23",
"Grazing land management","10,852.31",
"Revegetation",313.95,
"Waste","18,862.74",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:34:33 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
