"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","535,572.13",
"Energy","423,128.69",
"Fuel Combustion","381,007.20",
"Energy Industries","221,881.49",
"Public Electricity and Heat Production","199,116.82",
"Petroleum Refining","5,148.47",
"Manufacture of Solid Fuels and Other Energy Industries","17,616.20",
"Manufacturing Industries and Construction","44,150.87",
"Iron and Steel","2,258.87",
"Non-Ferrous Metals","13,271.38",
"Chemicals","8,056.74",
"Food Processing, Beverages and Tobacco","3,349.79",
"Non-Metallic Minerals","6,112.50",
"Other","9,705.87",
"Transport","92,479.27",
"Domestic aviation","7,944.75",
"Road Transportation","79,118.38",
"Railways","3,066.98",
"Domestic Navigation","1,794.05",
"Other Transportation",555.11,
"Other Sectors","21,614.23",
"Commercial / Institutional","5,201.66",
"Residential","10,063.94",
"Agriculture, Forestry and Fishing","6,348.64",
"Other (not elsewhere classified)",881.34,
"Fugitive Emissions From Fuels","42,121.48",
"Solid Fuels","26,748.36",
"Coal Mining","26,538.12",
"Other",210.24,
"Oil and Natural Gas","15,373.13",
"Oil",354.15,
"Natural Gas","6,564.81",
"Venting and Flaring","8,454.17",
"Industrial Processes","35,184.34",
"Mineral Industry","6,412.81",
"Cement Production","3,518.24",
"Lime Production","1,304.71",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,589.86",
"Chemical Industry","5,606.10",
"Metal Industry","11,773.73",
"Non-energy products from fuels and solvent use",188.11,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","10,835.34",
"Other product manufacture and use",150.24,
"Other",218.01,
"Agriculture","72,261.51",
"Enteric Fermentation","53,257.31",
"Manure Management","3,351.26",
"Rice Cultivation",341.83,
"Agricultural Soils","12,885.29",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",380.75,
"Liming",924.62,
"Urea Application","1,120.46",
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","-8,021.73",
"Afforestation and reforestation","-25,863.43",
"Deforestation","32,749.88",
"Forest management","-12,492.39",
"Cropland Management","-4,082.15",
"Grazing land management","1,765.23",
"Revegetation",-98.87,
"Waste","13,019.33",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:30:00 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
