"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","560,627.33",
"Energy","421,032.15",
"Fuel Combustion","378,509.65",
"Energy Industries","226,111.20",
"Public Electricity and Heat Production","205,095.49",
"Petroleum Refining","5,291.62",
"Manufacture of Solid Fuels and Other Energy Industries","15,724.10",
"Manufacturing Industries and Construction","41,435.58",
"Iron and Steel","2,561.89",
"Non-Ferrous Metals","13,058.19",
"Chemicals","6,623.14",
"Food Processing, Beverages and Tobacco","3,428.03",
"Non-Metallic Minerals","6,618.43",
"Other","7,408.92",
"Transport","89,190.54",
"Domestic aviation","6,783.34",
"Road Transportation","76,683.80",
"Railways","2,683.41",
"Domestic Navigation","2,419.76",
"Other Transportation",620.23,
"Other Sectors","20,883.04",
"Commercial / Institutional","4,910.59",
"Residential","9,770.18",
"Agriculture, Forestry and Fishing","6,202.27",
"Other (not elsewhere classified)",889.30,
"Fugitive Emissions From Fuels","42,522.50",
"Solid Fuels","27,105.63",
"Coal Mining","26,832.00",
"Other",273.63,
"Oil and Natural Gas","15,416.86",
"Oil",379.89,
"Natural Gas","6,371.98",
"Venting and Flaring","8,665.00",
"Industrial Processes","36,451.66",
"Mineral Industry","6,303.98",
"Cement Production","3,548.61",
"Lime Production","1,230.57",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,524.79",
"Chemical Industry","6,690.22",
"Metal Industry","13,419.16",
"Non-energy products from fuels and solvent use",247.40,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","9,415.04",
"Other product manufacture and use",144.40,
"Other",231.45,
"Agriculture","66,416.06",
"Enteric Fermentation","49,336.65",
"Manure Management","3,281.63",
"Rice Cultivation",62.76,
"Agricultural Soils","11,290.90",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",254.99,
"Liming","1,252.83",
"Urea Application",936.31,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","21,455.50",
"Afforestation and reforestation","-22,151.84",
"Deforestation","50,231.17",
"Forest management","-10,393.20",
"Cropland Management","-6,337.52",
"Grazing land management","9,984.79",
"Revegetation",122.10,
"Waste","15,271.96",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:30:32 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
