"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","586,050.70",
"Energy","419,756.10",
"Fuel Combustion","377,563.91",
"Energy Industries","225,794.99",
"Public Electricity and Heat Production","205,961.38",
"Petroleum Refining","5,124.94",
"Manufacture of Solid Fuels and Other Energy Industries","14,708.67",
"Manufacturing Industries and Construction","43,037.34",
"Iron and Steel","2,819.08",
"Non-Ferrous Metals","14,808.11",
"Chemicals","6,949.38",
"Food Processing, Beverages and Tobacco","3,270.10",
"Non-Metallic Minerals","6,851.55",
"Other","6,626.38",
"Transport","87,264.88",
"Domestic aviation","6,636.69",
"Road Transportation","74,828.90",
"Railways","2,616.49",
"Domestic Navigation","2,247.84",
"Other Transportation",934.96,
"Other Sectors","20,421.54",
"Commercial / Institutional","4,804.09",
"Residential","9,540.97",
"Agriculture, Forestry and Fishing","6,076.48",
"Other (not elsewhere classified)","1,045.17",
"Fugitive Emissions From Fuels","42,192.19",
"Solid Fuels","28,805.62",
"Coal Mining","28,713.35",
"Other",92.27,
"Oil and Natural Gas","13,386.57",
"Oil",495.60,
"Natural Gas","5,362.04",
"Venting and Flaring","7,528.93",
"Industrial Processes","35,049.04",
"Mineral Industry","6,898.40",
"Cement Production","3,862.91",
"Lime Production","1,320.03",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,715.46",
"Chemical Industry","6,517.59",
"Metal Industry","13,587.68",
"Non-energy products from fuels and solvent use",234.82,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","7,483.85",
"Other product manufacture and use",163.32,
"Other",163.38,
"Agriculture","68,043.28",
"Enteric Fermentation","52,154.93",
"Manure Management","3,165.88",
"Rice Cultivation",6.87,
"Agricultural Soils","10,648.13",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",237.09,
"Liming","1,065.53",
"Urea Application",764.85,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","48,202.33",
"Afforestation and reforestation","-20,980.75",
"Deforestation","59,809.65",
"Forest management","-2,638.29",
"Cropland Management","-5,101.03",
"Grazing land management","16,914.67",
"Revegetation",198.08,
"Waste","14,999.95",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:31:12 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
