"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","573,610.46",
"Energy","374,855.52",
"Fuel Combustion","336,382.69",
"Energy Industries","201,652.52",
"Public Electricity and Heat Production","183,990.15",
"Petroleum Refining","6,207.89",
"Manufacture of Solid Fuels and Other Energy Industries","11,454.48",
"Manufacturing Industries and Construction","39,129.01",
"Iron and Steel","2,768.76",
"Non-Ferrous Metals","12,741.12",
"Chemicals","6,160.36",
"Food Processing, Beverages and Tobacco","2,666.10",
"Non-Metallic Minerals","5,495.25",
"Other","7,791.89",
"Transport","75,878.88",
"Domestic aviation","4,942.86",
"Road Transportation","66,427.84",
"Railways","1,769.89",
"Domestic Navigation","1,962.59",
"Other Transportation",775.70,
"Other Sectors","19,131.49",
"Commercial / Institutional","4,400.96",
"Residential","9,144.11",
"Agriculture, Forestry and Fishing","5,586.42",
"Other (not elsewhere classified)",590.79,
"Fugitive Emissions From Fuels","38,472.83",
"Solid Fuels","24,492.04",
"Coal Mining","24,483.32",
"Other",8.72,
"Oil and Natural Gas","13,980.80",
"Oil",591.24,
"Natural Gas","3,997.79",
"Venting and Flaring","9,391.76",
"Industrial Processes","28,564.33",
"Mineral Industry","6,291.22",
"Cement Production","3,487.74",
"Lime Production","1,175.70",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,627.77",
"Chemical Industry","4,215.87",
"Metal Industry","14,456.20",
"Non-energy products from fuels and solvent use",299.43,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","2,926.73",
"Other product manufacture and use",225.10,
"Other",149.79,
"Agriculture","77,168.60",
"Enteric Fermentation","58,140.33",
"Manure Management","3,311.96",
"Rice Cultivation",479.23,
"Agricultural Soils","12,775.03",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",531.64,
"Liming","1,021.29",
"Urea Application",909.12,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","77,025.24",
"Afforestation and reforestation","-12,659.73",
"Deforestation","81,485.16",
"Forest management","-6,980.72",
"Cropland Management","-1,995.99",
"Grazing land management","16,973.52",
"Revegetation",203.01,
"Waste","15,996.76",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:32:33 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
