"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","612,646.77",
"Energy","406,336.35",
"Fuel Combustion","366,373.26",
"Energy Industries","220,963.94",
"Public Electricity and Heat Production","201,313.13",
"Petroleum Refining","4,921.16",
"Manufacture of Solid Fuels and Other Energy Industries","14,729.65",
"Manufacturing Industries and Construction","40,647.58",
"Iron and Steel","2,584.05",
"Non-Ferrous Metals","13,920.27",
"Chemicals","6,597.23",
"Food Processing, Beverages and Tobacco","3,513.41",
"Non-Metallic Minerals","6,141.26",
"Other","6,066.24",
"Transport","83,873.10",
"Domestic aviation","5,653.04",
"Road Transportation","73,052.50",
"Railways","2,147.17",
"Domestic Navigation","2,132.60",
"Other Transportation",887.79,
"Other Sectors","20,233.66",
"Commercial / Institutional","4,652.75",
"Residential","9,360.19",
"Agriculture, Forestry and Fishing","6,220.73",
"Other (not elsewhere classified)",654.97,
"Fugitive Emissions From Fuels","39,963.10",
"Solid Fuels","26,905.44",
"Coal Mining","26,830.59",
"Other",74.85,
"Oil and Natural Gas","13,057.66",
"Oil",475.26,
"Natural Gas","5,378.31",
"Venting and Flaring","7,204.08",
"Industrial Processes","32,143.59",
"Mineral Industry","6,669.00",
"Cement Production","3,888.06",
"Lime Production","1,101.81",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,679.12",
"Chemical Industry","6,033.37",
"Metal Industry","13,492.10",
"Non-energy products from fuels and solvent use",243.75,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","5,358.81",
"Other product manufacture and use",186.07,
"Other",160.49,
"Agriculture","74,305.50",
"Enteric Fermentation","55,768.76",
"Manure Management","3,622.42",
"Rice Cultivation",338.34,
"Agricultural Soils","12,316.54",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",429.75,
"Liming","1,072.84",
"Urea Application",756.85,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","85,676.48",
"Afforestation and reforestation","-17,388.42",
"Deforestation","88,453.46",
"Forest management","-3,548.81",
"Cropland Management","-3,964.05",
"Grazing land management","21,938.98",
"Revegetation",185.32,
"Waste","14,184.85",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:31:45 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
