"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","514,275.60",
"Energy","337,527.69",
"Fuel Combustion","297,352.67",
"Energy Industries","169,332.62",
"Public Electricity and Heat Production","152,761.95",
"Petroleum Refining","5,818.48",
"Manufacture of Solid Fuels and Other Energy Industries","10,752.19",
"Manufacturing Industries and Construction","37,790.76",
"Iron and Steel","2,830.89",
"Non-Ferrous Metals","12,534.37",
"Chemicals","5,498.47",
"Food Processing, Beverages and Tobacco","3,352.51",
"Non-Metallic Minerals","4,859.61",
"Other","7,292.87",
"Transport","71,730.60",
"Domestic aviation","5,420.29",
"Road Transportation","61,461.88",
"Railways","1,771.21",
"Domestic Navigation","2,592.20",
"Other Transportation",485.02,
"Other Sectors","17,677.45",
"Commercial / Institutional","4,141.57",
"Residential","9,444.22",
"Agriculture, Forestry and Fishing","4,091.65",
"Other (not elsewhere classified)",821.25,
"Fugitive Emissions From Fuels","40,175.02",
"Solid Fuels","24,682.41",
"Coal Mining","24,673.88",
"Other",8.53,
"Oil and Natural Gas","15,492.61",
"Oil",550.05,
"Natural Gas","5,903.53",
"Venting and Flaring","9,039.03",
"Industrial Processes","25,095.53",
"Mineral Industry","5,977.00",
"Cement Production","3,184.59",
"Lime Production","1,112.13",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,680.28",
"Chemical Industry","2,965.53",
"Metal Industry","14,764.17",
"Non-energy products from fuels and solvent use",279.93,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances",705.23,
"Other product manufacture and use",261.07,
"Other",142.59,
"Agriculture","75,304.56",
"Enteric Fermentation","58,420.37",
"Manure Management","2,617.16",
"Rice Cultivation",575.00,
"Agricultural Soils","11,950.89",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",587.46,
"Liming",485.72,
"Urea Application",667.97,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","59,370.94",
"Afforestation and reforestation","-5,798.93",
"Deforestation","61,666.98",
"Forest management","-15,982.54",
"Cropland Management",841.64,
"Grazing land management","18,361.87",
"Revegetation",281.92,
"Waste","16,976.89",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:33:47 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
