"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","583,264.97",
"Energy","425,625.11",
"Fuel Combustion","383,344.17",
"Energy Industries","232,066.01",
"Public Electricity and Heat Production","211,694.57",
"Petroleum Refining","5,198.78",
"Manufacture of Solid Fuels and Other Energy Industries","15,172.65",
"Manufacturing Industries and Construction","42,183.33",
"Iron and Steel","2,534.72",
"Non-Ferrous Metals","13,637.32",
"Chemicals","6,717.95",
"Food Processing, Beverages and Tobacco","3,446.50",
"Non-Metallic Minerals","6,464.21",
"Other","7,678.51",
"Transport","87,730.63",
"Domestic aviation","6,669.18",
"Road Transportation","75,468.50",
"Railways","2,716.11",
"Domestic Navigation","2,210.85",
"Other Transportation",665.98,
"Other Sectors","20,540.90",
"Commercial / Institutional","4,790.69",
"Residential","9,694.27",
"Agriculture, Forestry and Fishing","6,055.94",
"Other (not elsewhere classified)",823.30,
"Fugitive Emissions From Fuels","42,280.93",
"Solid Fuels","28,041.66",
"Coal Mining","27,839.34",
"Other",202.32,
"Oil and Natural Gas","14,239.27",
"Oil",388.76,
"Natural Gas","5,801.23",
"Venting and Flaring","8,049.29",
"Industrial Processes","33,027.75",
"Mineral Industry","6,408.20",
"Cement Production","3,829.02",
"Lime Production","1,152.13",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,427.05",
"Chemical Industry","6,153.47",
"Metal Industry","11,565.81",
"Non-energy products from fuels and solvent use",237.03,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","8,354.84",
"Other product manufacture and use",146.99,
"Other",161.41,
"Agriculture","68,424.29",
"Enteric Fermentation","51,761.31",
"Manure Management","3,152.66",
"Rice Cultivation",23.85,
"Agricultural Soils","11,250.01",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",293.28,
"Liming","1,159.49",
"Urea Application",783.69,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","41,253.23",
"Afforestation and reforestation","-21,083.41",
"Deforestation","50,418.65",
"Forest management","3,238.27",
"Cropland Management","-5,369.32",
"Grazing land management","13,929.28",
"Revegetation",119.77,
"Waste","14,934.60",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:30:52 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
