"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","612,339.75",
"Energy","414,254.49",
"Fuel Combustion","372,190.02",
"Energy Industries","224,025.96",
"Public Electricity and Heat Production","204,125.00",
"Petroleum Refining","5,334.58",
"Manufacture of Solid Fuels and Other Energy Industries","14,566.37",
"Manufacturing Industries and Construction","40,926.55",
"Iron and Steel","2,479.03",
"Non-Ferrous Metals","14,197.29",
"Chemicals","6,221.87",
"Food Processing, Beverages and Tobacco","3,205.63",
"Non-Metallic Minerals","6,796.71",
"Other","6,260.13",
"Transport","86,154.16",
"Domestic aviation","6,127.83",
"Road Transportation","73,992.03",
"Railways","2,193.80",
"Domestic Navigation","2,919.60",
"Other Transportation",920.90,
"Other Sectors","20,072.38",
"Commercial / Institutional","4,687.37",
"Residential","9,377.15",
"Agriculture, Forestry and Fishing","6,007.86",
"Other (not elsewhere classified)","1,010.97",
"Fugitive Emissions From Fuels","42,064.47",
"Solid Fuels","29,262.36",
"Coal Mining","29,186.54",
"Other",75.82,
"Oil and Natural Gas","12,802.11",
"Oil",511.13,
"Natural Gas","4,894.31",
"Venting and Flaring","7,396.67",
"Industrial Processes","34,518.67",
"Mineral Industry","6,985.47",
"Cement Production","3,971.55",
"Lime Production","1,225.39",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,788.54",
"Chemical Industry","6,723.06",
"Metal Industry","13,885.26",
"Non-energy products from fuels and solvent use",227.25,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","6,374.21",
"Other product manufacture and use",175.13,
"Other",148.29,
"Agriculture","71,260.97",
"Enteric Fermentation","54,268.74",
"Manure Management","3,543.70",
"Rice Cultivation",65.92,
"Agricultural Soils","11,379.31",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",187.52,
"Liming","1,069.51",
"Urea Application",746.28,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","77,781.40",
"Afforestation and reforestation","-18,239.28",
"Deforestation","81,921.61",
"Forest management","-2,968.61",
"Cropland Management","-4,434.29",
"Grazing land management","21,284.76",
"Revegetation",217.21,
"Waste","14,524.23",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:31:24 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
