"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","524,353.74",
"Energy","303,278.94",
"Fuel Combustion","263,644.45",
"Energy Industries","149,649.86",
"Public Electricity and Heat Production","134,579.21",
"Petroleum Refining","5,653.40",
"Manufacture of Solid Fuels and Other Energy Industries","9,417.25",
"Manufacturing Industries and Construction","35,344.09",
"Iron and Steel","2,479.08",
"Non-Ferrous Metals","11,974.64",
"Chemicals","5,391.94",
"Food Processing, Beverages and Tobacco","3,130.15",
"Non-Metallic Minerals","4,782.79",
"Other","6,378.05",
"Transport","61,936.97",
"Domestic aviation","3,532.89",
"Road Transportation","53,834.48",
"Railways","1,899.85",
"Domestic Navigation","2,367.51",
"Other Transportation",302.24,
"Other Sectors","16,215.67",
"Commercial / Institutional","3,766.29",
"Residential","8,907.77",
"Agriculture, Forestry and Fishing","3,541.61",
"Other (not elsewhere classified)",497.86,
"Fugitive Emissions From Fuels","39,634.50",
"Solid Fuels","23,493.01",
"Coal Mining","23,492.17",
"Other",0.84,
"Oil and Natural Gas","16,141.49",
"Oil",492.21,
"Natural Gas","6,912.10",
"Venting and Flaring","8,737.19",
"Industrial Processes","25,901.14",
"Mineral Industry","4,966.20",
"Cement Production","2,923.41",
"Lime Production",847.73,
"Glass Production","Data is not available",
"Other process uses of carbonates","1,195.05",
"Chemical Industry","3,546.74",
"Metal Industry","16,784.88",
"Non-energy products from fuels and solvent use",257.65,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","Data is not available",
"Other product manufacture and use",258.11,
"Other",87.56,
"Agriculture","77,161.09",
"Enteric Fermentation","61,932.03",
"Manure Management","2,501.48",
"Rice Cultivation",429.35,
"Agricultural Soils","11,212.38",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",396.04,
"Liming",316.77,
"Urea Application",373.04,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","98,251.57",
"Afforestation and reforestation",586.30,
"Deforestation","102,732.21",
"Forest management","-20,363.95",
"Cropland Management",724.93,
"Grazing land management","14,273.44",
"Revegetation",298.65,
"Waste","19,760.99",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:35:25 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
