"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","530,303.18",
"Energy","421,911.49",
"Fuel Combustion","376,134.62",
"Energy Industries","211,998.41",
"Public Electricity and Heat Production","188,989.27",
"Petroleum Refining","3,857.73",
"Manufacture of Solid Fuels and Other Energy Industries","19,151.41",
"Manufacturing Industries and Construction","43,952.45",
"Iron and Steel","1,559.66",
"Non-Ferrous Metals","13,294.93",
"Chemicals","8,700.86",
"Food Processing, Beverages and Tobacco","3,240.30",
"Non-Metallic Minerals","5,272.20",
"Other","10,496.49",
"Transport","96,181.75",
"Domestic aviation","8,627.66",
"Road Transportation","81,742.51",
"Railways","3,657.76",
"Domestic Navigation","1,680.95",
"Other Transportation",472.88,
"Other Sectors","23,124.73",
"Commercial / Institutional","5,866.00",
"Residential","10,487.11",
"Agriculture, Forestry and Fishing","6,771.61",
"Other (not elsewhere classified)",877.29,
"Fugitive Emissions From Fuels","45,776.87",
"Solid Fuels","27,349.14",
"Coal Mining","26,658.27",
"Other",690.88,
"Oil and Natural Gas","18,427.73",
"Oil",304.46,
"Natural Gas","7,066.03",
"Venting and Flaring","11,057.24",
"Industrial Processes","33,848.38",
"Mineral Industry","5,639.26",
"Cement Production","3,076.16",
"Lime Production","1,169.12",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,393.98",
"Chemical Industry","4,730.36",
"Metal Industry","10,104.39",
"Non-energy products from fuels and solvent use",175.09,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","12,814.90",
"Other product manufacture and use",168.64,
"Other",215.73,
"Agriculture","70,064.34",
"Enteric Fermentation","50,986.74",
"Manure Management","3,617.54",
"Rice Cultivation",230.94,
"Agricultural Soils","12,378.75",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",317.41,
"Liming","1,224.39",
"Urea Application","1,308.58",
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","-7,247.68",
"Afforestation and reforestation","-22,104.44",
"Deforestation","28,449.46",
"Forest management","-17,944.94",
"Cropland Management","-4,515.12",
"Grazing land management","8,940.57",
"Revegetation",-73.20,
"Waste","11,726.65",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:28:16 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
