"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","532,971.15",
"Energy","433,528.46",
"Fuel Combustion","384,482.85",
"Energy Industries","220,412.20",
"Public Electricity and Heat Production","194,742.76",
"Petroleum Refining","2,954.87",
"Manufacture of Solid Fuels and Other Energy Industries","22,714.58",
"Manufacturing Industries and Construction","41,663.39",
"Iron and Steel","1,506.18",
"Non-Ferrous Metals","12,530.95",
"Chemicals","7,739.37",
"Food Processing, Beverages and Tobacco","3,173.29",
"Non-Metallic Minerals","5,186.18",
"Other","10,161.19",
"Transport","97,462.60",
"Domestic aviation","8,962.17",
"Road Transportation","82,632.86",
"Railways","3,770.81",
"Domestic Navigation","1,601.42",
"Other Transportation",495.36,
"Other Sectors","24,022.81",
"Commercial / Institutional","6,062.64",
"Residential","10,653.05",
"Agriculture, Forestry and Fishing","7,307.12",
"Other (not elsewhere classified)",921.84,
"Fugitive Emissions From Fuels","49,045.61",
"Solid Fuels","27,305.32",
"Coal Mining","26,532.31",
"Other",773.00,
"Oil and Natural Gas","21,740.29",
"Oil",236.49,
"Natural Gas","8,672.97",
"Venting and Flaring","12,830.83",
"Industrial Processes","34,174.23",
"Mineral Industry","5,686.22",
"Cement Production","2,930.85",
"Lime Production","1,050.79",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,704.57",
"Chemical Industry","4,493.19",
"Metal Industry","10,201.58",
"Non-energy products from fuels and solvent use",172.90,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","13,176.44",
"Other product manufacture and use",171.07,
"Other",272.83,
"Agriculture","69,140.89",
"Enteric Fermentation","49,699.14",
"Manure Management","3,574.85",
"Rice Cultivation",92.10,
"Agricultural Soils","12,823.91",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",287.63,
"Liming","1,153.39",
"Urea Application","1,509.86",
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","-16,186.56",
"Afforestation and reforestation","-21,127.03",
"Deforestation","30,322.72",
"Forest management","-27,581.97",
"Cropland Management","-4,691.66",
"Grazing land management","6,993.39",
"Revegetation",-102.01,
"Waste","12,314.13",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:27:52 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
