"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","499,541.61",
"Energy","306,860.59",
"Fuel Combustion","271,188.26",
"Energy Industries","152,237.52",
"Public Electricity and Heat Production","137,080.17",
"Petroleum Refining","6,216.43",
"Manufacture of Solid Fuels and Other Energy Industries","8,940.92",
"Manufacturing Industries and Construction","36,718.48",
"Iron and Steel","2,758.15",
"Non-Ferrous Metals","12,412.58",
"Chemicals","5,473.68",
"Food Processing, Beverages and Tobacco","3,275.08",
"Non-Metallic Minerals","5,097.66",
"Other","6,361.30",
"Transport","65,128.17",
"Domestic aviation","3,928.27",
"Road Transportation","56,944.33",
"Railways","1,813.90",
"Domestic Navigation","2,045.29",
"Other Transportation",396.38,
"Other Sectors","16,540.27",
"Commercial / Institutional","3,813.06",
"Residential","8,930.81",
"Agriculture, Forestry and Fishing","3,796.40",
"Other (not elsewhere classified)",563.82,
"Fugitive Emissions From Fuels","35,672.33",
"Solid Fuels","21,622.68",
"Coal Mining","21,620.34",
"Other",2.34,
"Oil and Natural Gas","14,049.65",
"Oil",522.36,
"Natural Gas","4,981.93",
"Venting and Flaring","8,545.36",
"Industrial Processes","25,548.78",
"Mineral Industry","5,996.34",
"Cement Production","3,484.28",
"Lime Production",964.31,
"Glass Production","Data is not available",
"Other process uses of carbonates","1,547.75",
"Chemical Industry","3,614.86",
"Metal Industry","15,277.26",
"Non-energy products from fuels and solvent use",271.58,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances",0.58,
"Other product manufacture and use",295.61,
"Other",92.55,
"Agriculture","75,098.38",
"Enteric Fermentation","59,367.88",
"Manure Management","2,690.37",
"Rice Cultivation",457.78,
"Agricultural Soils","11,168.56",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",545.00,
"Liming",487.77,
"Urea Application",381.01,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","73,124.38",
"Afforestation and reforestation","-1,078.00",
"Deforestation","76,167.97",
"Forest management","-18,104.11",
"Cropland Management","4,003.68",
"Grazing land management","11,829.34",
"Revegetation",305.49,
"Waste","18,909.48",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:34:46 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
