"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","573,453.59",
"Energy","380,434.43",
"Fuel Combustion","343,276.45",
"Energy Industries","205,016.47",
"Public Electricity and Heat Production","186,560.56",
"Petroleum Refining","6,062.49",
"Manufacture of Solid Fuels and Other Energy Industries","12,393.42",
"Manufacturing Industries and Construction","39,623.67",
"Iron and Steel","2,465.95",
"Non-Ferrous Metals","12,472.17",
"Chemicals","6,851.80",
"Food Processing, Beverages and Tobacco","3,438.21",
"Non-Metallic Minerals","6,477.92",
"Other","6,364.56",
"Transport","78,340.95",
"Domestic aviation","4,721.73",
"Road Transportation","68,990.95",
"Railways","1,851.49",
"Domestic Navigation","1,941.28",
"Other Transportation",835.49,
"Other Sectors","19,734.66",
"Commercial / Institutional","4,340.56",
"Residential","9,172.10",
"Agriculture, Forestry and Fishing","6,222.00",
"Other (not elsewhere classified)",560.71,
"Fugitive Emissions From Fuels","37,157.97",
"Solid Fuels","23,871.59",
"Coal Mining","23,852.68",
"Other",18.92,
"Oil and Natural Gas","13,286.38",
"Oil",563.94,
"Natural Gas","4,414.17",
"Venting and Flaring","8,308.27",
"Industrial Processes","31,166.93",
"Mineral Industry","6,429.03",
"Cement Production","3,584.02",
"Lime Production","1,194.31",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,650.71",
"Chemical Industry","4,851.26",
"Metal Industry","15,619.53",
"Non-energy products from fuels and solvent use",307.79,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","3,578.35",
"Other product manufacture and use",229.11,
"Other",151.86,
"Agriculture","72,378.84",
"Enteric Fermentation","55,352.01",
"Manure Management","3,160.11",
"Rice Cultivation",152.09,
"Agricultural Soils","11,540.11",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",248.60,
"Liming","1,050.19",
"Urea Application",875.73,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","74,555.32",
"Afforestation and reforestation","-14,516.23",
"Deforestation","71,793.33",
"Forest management","-1,939.12",
"Cropland Management","-1,773.34",
"Grazing land management","20,807.13",
"Revegetation",183.55,
"Waste","14,918.07",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:32:22 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
