"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","609,484.63",
"Energy","399,994.36",
"Fuel Combustion","361,200.07",
"Energy Industries","216,461.87",
"Public Electricity and Heat Production","196,761.88",
"Petroleum Refining","5,479.09",
"Manufacture of Solid Fuels and Other Energy Industries","14,220.90",
"Manufacturing Industries and Construction","41,584.24",
"Iron and Steel","2,915.63",
"Non-Ferrous Metals","13,775.18",
"Chemicals","6,866.55",
"Food Processing, Beverages and Tobacco","3,597.41",
"Non-Metallic Minerals","6,268.16",
"Other","6,342.12",
"Transport","82,453.71",
"Domestic aviation","5,374.84",
"Road Transportation","71,805.25",
"Railways","2,138.88",
"Domestic Navigation","2,294.23",
"Other Transportation",840.50,
"Other Sectors","20,076.93",
"Commercial / Institutional","4,456.03",
"Residential","9,047.93",
"Agriculture, Forestry and Fishing","6,572.97",
"Other (not elsewhere classified)",623.33,
"Fugitive Emissions From Fuels","38,794.30",
"Solid Fuels","26,188.32",
"Coal Mining","26,121.16",
"Other",67.17,
"Oil and Natural Gas","12,605.97",
"Oil",507.20,
"Natural Gas","4,811.17",
"Venting and Flaring","7,287.61",
"Industrial Processes","31,875.32",
"Mineral Industry","6,478.76",
"Cement Production","3,664.13",
"Lime Production","1,213.38",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,601.25",
"Chemical Industry","5,355.29",
"Metal Industry","14,421.21",
"Non-energy products from fuels and solvent use",253.89,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","5,002.48",
"Other product manufacture and use",196.22,
"Other",167.47,
"Agriculture","76,126.03",
"Enteric Fermentation","57,361.36",
"Manure Management","3,654.48",
"Rice Cultivation",171.44,
"Agricultural Soils","12,637.07",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",338.24,
"Liming","1,076.18",
"Urea Application",887.27,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","87,092.38",
"Afforestation and reforestation","-16,567.34",
"Deforestation","87,698.08",
"Forest management",-46.65,
"Cropland Management","-3,185.43",
"Grazing land management","19,092.00",
"Revegetation",101.72,
"Waste","14,396.54",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:31:57 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
